	id сделки	брокер	тикер	валюта	тип сделки	цена покупки	цель 1	цель 2	цель 3	стоп	дата покупки	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	ошибка
95	95	-1001735653757	#ROSN	валюта	L	цена покупки	338	344	51	321	2022-07-18 07:15:54+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
96	96	-1001735653757	#LSRG	валюта	L	цена покупки	555	566	577	527	2022-07-18 07:48:42+00:00	2022-07-18 09:59:37+00:00	2022-07-18 10:58:43+00:00	2022-07-18 13:03:30+00:00	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
99	99	-1001735653757	#PLZL	валюта	L	цена покупки	8587	8756	8924	8166	2022-07-18 08:13:27+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
106	106	-1001735653757	#CCL	валюта	L	цена покупки	0,05	10,5	10,40	9,57	2022-07-18 13:38:35+00:00	2022-07-18 15:08:05+00:00	2022-07-19 13:41:45+00:00	2022-07-19 14:40:49+00:00	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка покупки
107	107	-1001735653757	#GM	валюта	L	цена покупки	34,02	34,69	5,4	32,33	2022-07-18 13:48:12+00:00	2022-07-19 14:38:58+00:00	2022-07-20 14:46:47+00:00	2022-07-28 13:43:13+00:00	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
110	110	-1001735653757	#DSKY	валюта	S	цена покупки	73,7	7,3	70,72	77,50	2022-07-19 08:29:30+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка продажи
112	112	-1001735653757	#SMLT	валюта	L	цена покупки	2800	88	296	2592	2022-07-19 10:23:53+00:00	2022-07-21 10:38:53+00:00	2022-07-21 12:11:49+00:00	2022-07-21 15:47:02+00:00	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка покупки
113	113	-1001735653757	#MU	валюта	L	цена покупки	62,96	64,3	65,46	59,82	2022-07-19 13:39:24+00:00	2022-07-20 14:48:43+00:00	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
117	117	-1001735653757	#ABNB	валюта	L	цена покупки	02,3	104,35	106,6	97,32	2022-07-19 15:44:04+00:00	2022-07-19 18:05:37+00:00	2022-07-20 13:44:45+00:00	2022-07-20 14:50:18+00:00	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка покупки
120	120	-1001735653757	#SPBE	валюта	L	цена покупки	,9	1,97	2,05	1,78	2022-07-20 12:58:41+00:00	2022-07-20 13:02:56+00:00	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка покупки
124	124	-1001735653757	#ENPH	валюта	L	цена покупки	224,49	31,03	27,57	208	2022-07-20 13:51:51+00:00	2022-07-22 20:33:44+00:00	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка покупки
125	125	-1001735653757	#NVTA	валюта	L	цена покупки	2,28	,34	2,40	2,17	2022-07-20 13:59:44+00:00	2022-07-20 14:11:51+00:00	2022-07-20 14:21:21+00:00	2022-07-20 14:53:25+00:00	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка покупки
133	133	-1001735653757	#OZON	валюта	S	цена покупки	55	113	1108	1215	2022-07-21 11:08:06+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка продажи
134	134	-1001735653757	#LSRG	валюта	L	цена покупки	600	61	622	570	2022-07-21 11:29:52+00:00	2022-07-22 07:15:03+00:00	2022-07-22 07:23:36+00:00	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
138	138	-1001735653757	#ALRS	валюта	L	цена покупки	62,3	63,39	64,61	59,13	2022-07-21 13:03:29+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
139	139	-1001735653757	#BABA	валюта	L	цена покупки	08	110	112	102,75	2022-07-21 13:46:25+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка покупки
140	140	-1001735653757	#PTON	валюта	L	цена покупки	,60	1,15	12,70	10,20	2022-07-21 14:28:59+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка покупки
141	141	-1001735653757	#OXY	валюта	S	цена покупки	60,29	59,06	57,84	63,38	2022-07-21 15:39:43+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
143	143	-1001735653757	#ZYNE	валюта	L	цена покупки	,34	1,40	1,47	1,17	2022-07-21 19:01:39+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка покупки
144	144	-1001735653757	#ROSN	валюта	L	цена покупки	338,48	345	51	321	2022-07-22 07:11:28+00:00	2022-07-22 08:47:34+00:00	2022-07-26 11:08:50+00:00	2022-07-27 07:37:55+00:00	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
150	150	-1001735653757	#MARA	валюта	S	цена покупки	,42	11,07	10,71	12,36	2022-07-25 12:50:43+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка продажи
151	151	-1001735653757	#AA	валюта	L	цена покупки	48,28	49,4	50,19	45,92	2022-07-25 13:47:22+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
152	152	-1001735653757	#HYDR	валюта	L	цена покупки	0,788	0,81	0,85	0,727	2022-07-25 13:55:00+00:00	2022-07-26 14:22:19+00:00	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
153	153	-1001735653757	#RIG	валюта	L	цена покупки	2,84	,9		2,62	2022-07-25 16:55:37+00:00	2022-07-26 12:05:45+00:00	2022-07-27 18:03:52+00:00	2022-07-27 20:12:43+00:00	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка покупки
154	154	-1001735653757	#NVTK	валюта	L	цена покупки	99	1010	1029	942	2022-07-26 07:12:42+00:00	2022-07-26 14:19:26+00:00	2022-07-27 07:27:43+00:00	2022-07-27 07:32:32+00:00	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка покупки
155	155	-1001735653757	#SGZH	валюта	L	цена покупки	7,94	8,16	8,40	7,33	2022-07-26 10:35:11+00:00	2022-07-29 07:46:31+00:00	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
158	158	-1001735653757	#LI	валюта	L	цена покупки	36,42	37,41	8,47	33,56	2022-07-26 13:43:06+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
161	161	-1001735653757	#SHOP	валюта	L	цена покупки	3,30	31,93	2,55	29,78	2022-07-26 16:04:38+00:00	2022-07-26 17:30:28+00:00	2022-07-27 07:24:34+00:00	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка покупки
162	162	-1001735653757	#MCD	валюта	L	цена покупки	262,93	68	27,16	249,96	2022-07-26 16:45:13+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка покупки
168	168	-1001735653757	#YNDX	валюта	L	цена покупки	223	165	2206	2018	2022-07-27 09:37:00+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка покупки
169	169	-1001735653757	#GCHE	валюта	L	цена покупки	268	669	2721	2489	2022-07-27 09:46:33+00:00	2022-07-27 11:24:09+00:00	2022-07-28 07:09:37+00:00	2022-08-01 08:04:41+00:00	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка покупки
171	171	-1001735653757	#COIN	валюта	L	цена покупки	55,9	57	58	53,17	2022-07-27 12:43:06+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
173	173	-1001735653757	#AYX	валюта	L	цена покупки	48,67	49,6	50,58	46,28	2022-07-27 18:45:29+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
176	176	-1001735653757	#POLY	валюта	L	цена покупки	277	81	287	262	2022-07-28 07:18:30+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка покупки
177	177	-1001735653757	#FIVE	валюта	L	цена покупки	36	1387	1414	1294	2022-07-28 07:30:37+00:00	2022-07-28 14:27:58+00:00	2022-08-02 07:06:20+00:00	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка покупки
179	179	-1001735653757	#ENPH	валюта	S	цена покупки	267	60	255	278	2022-07-28 13:48:59+00:00	2022-07-28 14:10:00+00:00	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка продажи
181	181	-1001735653757	#RIVN	валюта	L	цена покупки	32,98	33,63	4,28	31,36	2022-07-28 14:18:49+00:00	2022-07-28 15:40:57+00:00	2022-07-29 07:44:22+00:00	2022-07-29 20:33:15+00:00	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
184	184	-1001735653757	#PIKK	валюта	L	цена покупки	779	795	810	742	2022-07-29 07:41:42+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
187	187	-1001735653757	#TCSG	валюта	L	цена покупки	2005	044	208	1908	2022-07-29 07:49:55+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка покупки
188	188	-1001735653757	#CIAN	валюта	L	цена покупки	348	354	61	330	2022-07-29 12:12:07+00:00	2022-07-29 12:26:49+00:00	2022-07-29 12:30:23+00:00	2022-07-29 13:04:26+00:00	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
192	192	-1001735653757	#RCL	валюта	L	цена покупки	37,0	37,89	8,62	35,35	2022-07-29 13:38:43+00:00	2022-07-29 13:47:23+00:00	2022-07-29 13:58:17+00:00	2022-07-29 20:34:51+00:00	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
